"filename", "language", "YAML", "Markdown", "Go", "JavaScript", "XML", "PostCSS", "HTML", "JSON", "Docker", "TypeScript", "MS SQL", "TypeScript JSX", "Properties", "JSON with Comments", "comment", "blank", "total"
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/StatusBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/components.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 8, 84
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/formatting/index.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"/Users/tau/Git/Hacks/auth-scope/frontend/src/shared/formatting/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"/Users/tau/Git/Hacks/auth-scope/frontend/src/testing/setup.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"/Users/tau/Git/Hacks/auth-scope/frontend/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/tau/Git/Hacks/auth-scope/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/tau/Git/Hacks/auth-scope/frontend/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/tau/Git/Hacks/auth-scope/frontend/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"/Users/tau/Git/Hacks/auth-scope/frontend/vitest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"/Users/tau/Git/Hacks/auth-scope/go.mod", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
